Name, Latitude, Longitude, Image
Eglise Saint Pierre, 49.903115,2.305888, http://lh3.ggpht.com/_Gw9CS8YhjyUEtbHO6pJI2i1QgT4LyvNzt-u7d5ugqv93uO2xR0APCrcR0K1GBp7gTnonKj3a7NYvNtUGRA
Mosquée El Feth, 49.905735,2.317017, http://lh5.ggpht.com/qZAFemmboYfJY83g_U9W5mMnQzDu49rv_yZQxMrn4odnW50jynqB49SapTBFG_QF-vcXhBaSa-evIZBgo8c
Fresque Murale, 49.903348,2.306592, http://lh3.googleusercontent.com/96yxt7NZZGFwq9cv7mGT6oveRRnG67pyDzP4Lyv99nqBWjFNzM7nMFgGBLlveOADf8eZvI_Ya7csOAcp8uVt
Ancien Monuments Résidentiel , 49.908923,2.317422, http://lh3.googleusercontent.com/y3ZiV9GJVp0323K_uuRg_4XxuexxF7vQNx3qMBYOxwAN-twUzquT9mcZhI5HrtnF5XMZluhMSAEQUIktjOro
Le Pied Marin , 49.923221,2.309509, http://lh3.googleusercontent.com/K7-P5ZXCNct3loR9Kt4YTQKZB9HNV1cQpS-mpl9ryAmD8HW2pzRVgKwXZ0wrdWaLyALrOeplVWVR8B9J9iA
Portrait De Franck Sinatra, 49.922931,2.309558, http://lh3.googleusercontent.com/BEhM9fVDN-b7ggLubMfsJ0JhkrXoOPjzEmhCzRibKL5ICSK6UgfNacfSV8ds9k86wPJUo_fsHTsP1FfjJZ7j
Libellule Photographique, 49.923656,2.309888, http://lh3.googleusercontent.com/KgkfyPmGnKgxsxurCVCItL30eSoK9hJqQsXUDAlFyYUTyPJy4ySD_pqggNK63NqJ9LL2MmkUHoqXQYCEdND48w
Aire De Jeux Geante, 49.922645,2.308667, http://lh3.googleusercontent.com/58O_mKUz6WTQPMcnUhqFHrtUd8L7A9fY3jNWcyIUPxngKMqi6kLwjU31Lzle24KKukx3A08j5DpCnftQOd8
Art de fer forgé, 49.910464,2.32463, http://lh3.googleusercontent.com/MJ-7OAb2fOKc_6gEh8QMK7QAnDxEKhCfMFZZP152RCydSGJuf5giXKWjQSRFuJfUF-lZGLSGiCXMLId1FIA
Stade Gérard Totet, 49.910212,2.321693, http://lh3.googleusercontent.com/1XKb1PXdDc0ZldP8yP7N8v37Qs1h1ToeNJTl1MyrzU3L00PO_o3JVv6SdcXXGL36zLvcl0W8VZw6OagA2NAE
132 Ans D'histoire, 49.910535,2.316606, http://lh4.ggpht.com/6HYscaHDeewQgxHwMjutOCo35fsv5r_pdjFfmeQagKq-Bt00TMh_ObXO-THCdqe2Nkba7etiQ2MmSWGxD3O1
Piscine Le Nautilus, 49.910739,2.312196, http://lh5.ggpht.com/k0pz8-4Vgy3Pv4QZRGtsaAbhc3w3c40fJDzm4CFmfsyUsU90LADKBkTCql4vHYJNRzVqhxtKHiDDxSU1RXZUVA
Statue Femme Qui Danse, 49.911328,2.324966, http://lh4.ggpht.com/mOiwKhwUrxc7uJ3cS7m7d_awdQ7ZSWw7yrUmN2bMV1grWbSbp_jesXHbJLJ-F5NNUNPJbTBpYSBMHFUtmN-_
Petit Parc De Jeux, 49.910568,2.323702, http://lh3.googleusercontent.com/EA0wpmKdeHfoMzkfc4cYUvXi3a6S7DAGn2jD8KEIATEim203vvtFSy_gjOCUMmF9KfVzVMpRvog17RCaL-E
